SN,title,color,imageUrl,price_usd,material,gender,brand,care,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
100,TIE DYE BECOME THE CHNGE BF S/S T-SHIRT (DUSTY ROSE/BLACK),dusty rose/black,https://cdn.shopify.com/s/files/1/2380/6877/products/chngetigertiedyedustyrosefront.jpg?v=1613080941,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
101,TIE DYE BUTTERFLY LOGO S/S T-SHIRT (MAUVE/BLACK),mauve/black,https://cdn.shopify.com/s/files/1/2380/6877/products/mauvechgnebutterflyfront.jpg?v=1613080921,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
102,TIE DYE BECOME THE CHNGE BF S/S T-SHIRT (BLACK MARBLE),black marble,https://cdn.shopify.com/s/files/1/2380/6877/products/graymarblefront_9e03cfec-f8d2-4ca4-b9af-c2194146bf44.jpg?v=1617635002,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
103,TIE DYE BUTTERFLY LOGO S/S T-SHIRT (DUSTY ROSE/BLACK),dusty rose/black,https://cdn.shopify.com/s/files/1/2380/6877/products/5_6196ab56-aba3-48c7-abd4-96f1884aa2fb.jpg?v=1617564247,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
104,TIE DYE BUTTERFLY LOGO T-SHIRT DRESS (CHALK/BLACK),black/chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/tiedyeredofront.jpg?v=1622232931,49.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
105,TIE DYE BUTTERFLY LOGO T-SHIRT DRESS (DUSTY ROSE/BLACK),dusty rose/black,https://cdn.shopify.com/s/files/1/2380/6877/products/dustyrosesplotch_08845d52-dadc-4510-8c57-fa2b06be36ae.jpg?v=1618243932,24.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
106,TIE DYE BUTTERFLY LOGO T-SHIRT DRESS (MAUVE/BLACK),mauve/black,https://cdn.shopify.com/s/files/1/2380/6877/products/mauvetieddyebutterflyfront.jpg?v=1618244756,49.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
107,TIE DYE BUTTERFLY LOGO T-SHIRT DRESS (MINT/BLACK),mint/black,https://cdn.shopify.com/s/files/1/2380/6877/products/minttsdfront.jpg?v=1618338235,49.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
108,TIE DYE BUTTERFLY LOGO T-SHIRT DRESS (VIOLET/BLACK),violet/black,https://cdn.shopify.com/s/files/1/2380/6877/products/violettsdfront.jpg?v=1618338259,49.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
109,Z?NT TIE DYE BF STAMP DRESS (ELECTRO),electro,https://cdn.shopify.com/s/files/1/2380/6877/products/pinkblackstripefront.jpg?v=1616608260,49.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
110,Z?NT TIE DYE BF STAMP DRESS (VIOLET),violet,https://cdn.shopify.com/s/files/1/2380/6877/products/violetstripefront.jpg?v=1616604782,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
111,Z?NT TIE DYE BF STAMP DRESS (SUNSET),sunset,https://cdn.shopify.com/s/files/1/2380/6877/products/sherbertstripefront.jpg?v=1616608185,44.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
112,MITTENS SANDERS (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/IMG_5791.jpg?v=1611636307,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
