,name,supplier,rating,reviews,price,description,sleeve_length,fit,neckline,composition,color,imported,sustainability,article_number,length,gender
119,Pima Cotton T-shirt,[],,[reviewsLabel],,T-shirt in pima cotton jersey with a ribbed crew neck. Straight-cut hem with short slits at sides.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark blue,Yes,Premium Selection,0926847005,,men
120,Regular Fit Polo Shirt,[],,[reviewsLabel],,Short-sleeved polo shirt in soft cotton jersey. Ribbed collar and two buttons at top.,Short sleeve,Regular fit,,Cotton 100%,Light purple,Yes,,0973019004,,men
121,Regular Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft slub cotton jersey with an open chest pocket.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Mint green,Yes,,0982659004,,men
122,1/4-Zip Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in cotton piqué. Ribbed collar, zipper at top, and short slits at sides.",Short sleeve,,,"Cotton 60%, Polyester 40%",Gray,Yes,,0891007003,,men
123,Regular Fit COOLMAX® T-shirt,[],,[reviewsLabel],,"T-shirt in soft jersey with a printed design. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,Round Neck,"Cotton 59%, Polyester 41%",White/green/blue,Yes,,0952601007,,men
124,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"Crew-neck T-shirts in a soft, stretch cotton blend made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,Round Neck,"Cotton 60%, Polyester 40%",Black,Yes,,0945802002,,men
125,T-shirt with Printed Design,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design.,Short sleeve,,Round Neck,Cotton 100%,Yellow,Yes,,0699923156,Regular length,men
126,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, straight-cut T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White,Yes,,1003662001,,men
127,Slim Fit Polo Shirt,[],,[reviewsLabel],,Short-sleeved polo shirt in stretch cotton jersey with a collar and button placket. Slim fit.,Short sleeve,Slim fit,,Cotton 100%,Dark blue/white,Yes,,0658329018,,men
128,Regular Fit Polo Shirt,[],,[reviewsLabel],,Short-sleeved polo shirt in soft cotton jersey. Ribbed collar and two buttons at top.,Short sleeve,Regular fit,,Cotton 100%,Gray,Yes,,0973019003,,men
129,Regular Fit Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed motif. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Pink/black,Yes,,0979502002,,men
130,Relaxed Fit T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Purple/light green/light blue/white/black,Yes,,1008905001,,men
131,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 90%, Viscose 5%, Elastane 5%",Gray melange/white/beige,Yes,,0578630036,Regular length,men
132,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Light orange,Yes,,0598755059,Long,men
133,Slim Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Light purple,Yes,,0570003100,Regular length,men
134,2-pack Slim Fit T-shirts,[],,[reviewsLabel],,"T-shirts in soft cotton jersey. Slightly wider, rounded neck with narrow trim.",Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Dark gray/black,Yes,,0981530002,,men
135,Muscle Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved sports shirt in fast-drying, functional fabric. Made partly from recycled polyester.",Short sleeve,Muscle fit,Round Neck,"Polystyrene 93%, Elastane 7%",Dark blue melange,Yes,environmentalMarker,0653275007,Regular length,men
136,Relaxed Fit T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Dark gray/black/white,Yes,,0982172001,,men
137,Slim Fit Round-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Gray/white,Yes,,0570002111,Regular length,men
138,Pima Cotton T-shirt,[],,[reviewsLabel],,T-shirt in pima cotton jersey with a ribbed crew neck. Straight-cut hem with short slits at sides.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,Premium Selection,0926847001,,men
139,Loose Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",Short sleeve,Loose fit,Round Neck,"Polyester 94%, Elastane 6%",Dark blue melange,Yes,environmentalMarker,0948855013,,men
140,Loose Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",Short sleeve,Loose fit,Round Neck,"Polyester 90%, Elastane 10%",Dark gray melange,Yes,environmentalMarker,0948855001,,men
141,Slim Fit Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in soft, organic cotton jersey. Collar and button placket at top.",Short sleeve,Slim fit,,"Cotton 95%, Elastane 5%",Mint green,Yes,environmentalMarker,0956343014,,men
142,Relaxed Fit T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey with a printed design at front and back. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White/green/black,Yes,,0972556018,,men
143,Regular Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,V-neck,Cotton 100%,Dark gray,Yes,,0763275033,,men
144,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"Crew-neck T-shirts in a soft, stretch cotton blend made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,Round Neck,"Cotton 60%, Polyester 40%",Dark gray/orange,Yes,,0945802005,,men
145,Slim Fit Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in soft, organic cotton jersey. Collar and button placket at top.",Short sleeve,Slim fit,,"Cotton 95%, Elastane 5%",Light pink,Yes,environmentalMarker,0956343013,,men
146,Cotton T-shirt,[],,[reviewsLabel],,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",Short sleeve,Oversized,Round Neck,Cotton 100%,Dark brown,Yes,environmentalMarker,1003570007,,men
147,2-pack Long Fit T-shirts,[],,[reviewsLabel],,"Long, straight-cut T-shirts in soft cotton jersey. Ribbed crew neck and very rounded hem. Relaxed fit.",Short sleeve,,Round Neck,Cotton 100%,White/black,Yes,,0945202001,,men
148,Long T-shirt,[],,[reviewsLabel],,"Long, relaxed-fit T-shirt in cotton slub jersey. Rounded, wider neckline with rolled raw edge, open chest pocket, and sewn cuffs on sleeves. Rounded hem at front. Longer at back.",Short sleeve,,Round Neck,Cotton 100%,Khaki green,Yes,,0793704004,Long,men
149,Relaxed Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in thick cotton jersey.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Green,Yes,,0608945057,Regular length,men
150,Regular Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey with a printed motif.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Sage green/black/white,Yes,,0976232005,,men
151,2-pack Relaxed Fit T-shirts,[],,[reviewsLabel],,Relaxed-fit T-shirts in soft cotton jersey. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White/black,Yes,,0981324001,,men
152,Muscle Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved sports shirt in fast-drying, functional fabric. Made partly from recycled polyester.",Short sleeve,Muscle fit,Round Neck,"Polyester 87%, Elastane 13%",Black,Yes,environmentalMarker,0653275005,Regular length,men
153,Pima Cotton T-shirt,[],,[reviewsLabel],,T-shirt in pima cotton jersey with a ribbed crew neck. Straight-cut hem with short slits at sides.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black,Yes,Premium Selection,0926847002,,men
154,2-pack Slim Fit T-shirts,[],,[reviewsLabel],,"T-shirts in soft cotton jersey. Slightly wider, rounded neck with narrow trim.",Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White,Yes,,0981530001,,men
155,Pima Cotton T-shirt,[],,[reviewsLabel],,T-shirt in pima cotton jersey with a ribbed crew neck. Straight-cut hem with short slits at sides.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Pale orange,Yes,Premium Selection,0926847013,,men
156,Muscle Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved sports shirt in fast-drying, functional fabric. Made partly from recycled polyester.",Short sleeve,Muscle fit,Round Neck,"Polyester 93%, Elastane 7%",Orange,Yes,environmentalMarker,0653275055,Regular length,men
157,Muscle Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved sports shirt in fast-drying, functional fabric. Made partly from recycled polyester.",Short sleeve,Muscle fit,Round Neck,"Polyester 93%, Elastane 7%",Black melange,Yes,environmentalMarker,0653275047,Regular length,men
158,Regular Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,V-neck,Cotton 100%,Light turquoise,Yes,,0763275029,,men
159,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Black/dark gray/gray,Yes,,0578630038,Regular length,men
160,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark blue,Yes,,0685816037,Regular length,men
161,Regular Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,V-neck,Cotton 100%,Light pink,Yes,,0763275034,,men
162,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Neon green,Yes,,0685816100,Regular length,men
163,Cotton Polo Shirt,[],,[reviewsLabel],,"Polo shirt in cotton piqué. Ribbed collar, button placket, and short sleeves with ribbed cuffs. Slits at sides.",Short sleeve,,,Cotton 100%,Light blue,Yes,,0816759035,,men
164,2-pack Regular Fit T-shirts,[],,[reviewsLabel],,"T-shirts in soft cotton jersey with a low neck. Rolled edges at neck and cuffs. Rounded hem, longer at back. Regular Fit.",Short sleeve,Regular fit,Round Neck,Cotton 100%,Black,Yes,,0963748005,,men
165,Heavy Cotton Jersey T-shirt,[],,[reviewsLabel],,"Relaxed-fit T-shirt in heavy cotton jersey. Crew neck, printed design at front, and dropped shoulders.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Pink,Yes,,0872231053,,men
166,Muscle Fit T-shirt,[],,[reviewsLabel],,"Crew-neck T-shirt in soft cotton jersey with a printed design at front. Muscle Fit – designed to showcase the body’s physique. Narrow shoulders, tapered sleeves, and accentuated waist for a flattering silhouette.",Short sleeve,Muscle fit,Round Neck,"Cotton 95%, Elastane 5%",Light blue/white,Yes,,0986473003,,men
167,Relaxed Fit T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey with a printed design at front and back. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Orange/black,Yes,,0972556019,,men
168,Loose Fit Sports Shirt,[],,[reviewsLabel],,"Short-sleeved, crew-neck shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Taped details. Rounded hem, longer at back for improved fit and increased freedom of movement.",Short sleeve,Loose fit,Round Neck,"Polyester 94%, Elastane 6%",Dark red melange,Yes,environmentalMarker,0948855018,,men
169,Regular Fit COOLMAX® T-shirt,[],,[reviewsLabel],,"T-shirt in soft jersey with a printed design. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,Round Neck,"Cotton 59%, Polyester 41%",Neon green/black,Yes,,0952601006,,men
170,Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Short sleeve,,,Cotton 100%,White/light pink/yellow/black,Yes,environmentalMarker,0684021129,Regular length,men
171,Premium Cotton T-shirt,[],,[reviewsLabel],,"Crew-neck T-shirt in soft, premium cotton jersey.",Short sleeve,Regular fit,,Cotton 100%,Black,Yes,Premium Selection,0997172002,,men
172,Muscle Fit T-shirt,[],,[reviewsLabel],,"Crew-neck T-shirt in soft cotton jersey with a printed design at front. Muscle Fit – designed to showcase the body’s physique. Narrow shoulders, tapered sleeves, and accentuated waist for a flattering silhouette.",Short sleeve,Muscle fit,Round Neck,"Cotton 95%, Elastane 5%",White/black,Yes,,0986473001,,men
173,2-pack Long Fit T-shirts,[],,[reviewsLabel],,"Long, straight-cut T-shirts in soft cotton jersey. Ribbed crew neck and very rounded hem. Relaxed fit.",Short sleeve,,Round Neck,Cotton 100%,Gray melange/light blue,Yes,,0945202002,,men
174,Relaxed Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in thick cotton jersey.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White/purple,Yes,,0608945050,Regular length,men
175,Regular Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft slub cotton jersey with an open chest pocket.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,,0982659001,,men
176,2-pack Slim Fit T-shirts,[],,[reviewsLabel],,"T-shirts in soft cotton jersey. Slightly wider, rounded neck with narrow trim.",Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Khaki green/light gray,Yes,,0981530003,,men
177,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,White/blue/orange/pink,Yes,environmentalMarker,0967955005,,men
178,Pima Cotton T-shirt,[],,[reviewsLabel],,T-shirt in pima cotton jersey with a ribbed crew neck. Straight-cut hem with short slits at sides.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Light gray melange,Yes,Premium Selection,0926847004,,men
179,Premium Cotton T-shirt,[],,[reviewsLabel],,"Crew-neck T-shirt in soft, premium cotton jersey.",Short sleeve,Regular fit,,Cotton 100%,White,Yes,Premium Selection,0997172001,,men
180,Slub Jersey T-shirt,[],,[reviewsLabel],,"T-shirt in slub cotton jersey with sewn cuffs on sleeves. Slightly longer, rounded back section.",Short sleeve,,,Cotton 100%,Brown,Yes,,0591466060,,men
181,Cotton T-shirt,[],,[reviewsLabel],,"Blank staples is a streetwear collection of minimalistic pieces that are the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz. cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",Short sleeve,Oversized,Round Neck,Cotton 100%,Cream,Yes,,0956774001,,men
182,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"V-neck T-shirts in soft jersey made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,V-neck,"Cotton 60%, Polyester 40%",Black,Yes,,0976756001,,men
183,Regular Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft slub cotton jersey with an open chest pocket.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark gray melange,Yes,,0982659003,,men
184,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Red/white,Yes,,0846973134,,men
185,10-pack Regular Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/white,Yes,,0975620002,,men
186,Relaxed Fit COOLMAX® T-shirt,[],,[reviewsLabel],,"Crew-neck T-shirt in soft jersey with a printed design. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Relaxed fit,Round Neck,"Cotton 57%, Polyester 43%",White/green/brown,Yes,environmentalMarker,0952602005,,men
187,Regular Fit COOLMAX® T-shirt,[],,[reviewsLabel],,"T-shirt in soft jersey with a printed design. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,Round Neck,"Cotton 59%, Polyester 41%",White/light blue/light green/light pink,Yes,,0952601005,,men
188,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, straight-cut T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Navy blue,Yes,,1003662003,,men
189,Regular Fit Running Shirt,[],,[reviewsLabel],,"Running shirt in fast-drying, functional fabric designed to help keep you dry and cool while exercising. Short raglan sleeves and reflective details.",Short sleeve,Regular fit,Round Neck,Polyester 100%,Black/orange,Yes,environmentalMarker,0886548020,,men
190,2-pack Relaxed Fit T-shirts,[],,[reviewsLabel],,Relaxed-fit T-shirts in soft cotton jersey. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Light purple/light gray,Yes,,0981324002,,men
191,Relaxed Fit T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey with a printed design. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black/silver-colored/white,Yes,,0972640023,,men
192,Regular Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,V-neck,Cotton 100%,Dark green,Yes,,0763275024,,men
193,Striped T-shirt,[],,[reviewsLabel],,"T-shirt in soft cotton jersey with printed stripes. Round, contrasting neckline.",Short sleeve,,Round Neck,Cotton 100%,White/red/dark blue,Yes,,0895587001,,men
194,Striped T-shirt,[],,[reviewsLabel],,"T-shirt in soft cotton jersey with printed stripes. Round, contrasting neckline.",Short sleeve,,Round Neck,Cotton 100%,Dark blue/white/red,Yes,,0895587002,,men
195,Regular Fit Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed motif. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Steel gray/white,Yes,,0979502001,,men
196,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"V-neck T-shirts in soft jersey made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,V-neck,"Cotton 60%, Polyester 40%",Blue/light gray melange,Yes,,0976756003,,men
197,Relaxed Fit Printed T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey with a printed design. Crew neck.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Light pink/light blue/white,Yes,,0920624011,,men
198,Slim Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Dark gray,Yes,,0570003099,Regular length,men
199,Relaxed Fit T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey with a printed design. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Light blue/white/black,Yes,,0972640030,,men
200,Slim Fit Round-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White,Yes,,0570002002,Regular length,men
201,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, straight-cut T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Light purple,Yes,,1003662004,,men
202,Premium Cotton Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in soft premium cotton. Ribbed collar, two buttons at top, open chest pocket, and a slit at each side of hem. Slim Fit – shaped at chest and tapered at waist, combined with slightly narrower sleeves for a tailored silhouette.",Short sleeve,Slim fit,,Cotton 100%,Dark blue,Yes,,0939969003,,men
203,Relaxed Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in thick cotton jersey.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Mint green,Yes,,0608945054,Regular length,men
204,Slim Fit V-neck T-shirt,[],,[reviewsLabel],,V-neck T-shirt in soft cotton jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Mint green,Yes,,0570003102,Regular length,men
205,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"Crew-neck T-shirts in soft jersey made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Slim fit,Round Neck,"Cotton 58%, Polyester 38%, Elastane 4%",Neon green/white,Yes,,0948730006,,men
206,Slim Fit Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in soft, organic cotton jersey. Collar and button placket at top.",Short sleeve,Slim fit,,"Cotton 95%, Elastane 5%",Black,Yes,,0956343001,,men
207,Patterned T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in cotton slub jersey with a printed pattern.,Short sleeve,,Round Neck,Cotton 100%,Light blue/dark blue/orange/white,Yes,,0863952023,,men
208,Regular Fit Running Shirt,[],,[reviewsLabel],,"Running shirt in fast-drying, functional fabric designed to help keep you dry and cool while exercising. Short raglan sleeves and reflective details.",Short sleeve,Regular fit,Round Neck,Polyester 100%,Turquoise/black,Yes,environmentalMarker,0886548019,,men
209,Slim Fit Round-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Light blue/white,Yes,,0570002120,Regular length,men
210,Raw-edge T-shirt,[],,[reviewsLabel],,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",Short sleeve,,Round Neck,Cotton 100%,Steel blue,Yes,,0793104023,,men
211,Slim Fit Polo Shirt,[],,[reviewsLabel],,Short-sleeved polo shirt in stretch cotton jersey with a collar and button placket. Slim fit.,Short sleeve,Slim fit,,Cotton 100%,White/black,Yes,,0658329019,,men
212,2-pack COOLMAX® T-shirts,[],,[reviewsLabel],,"V-neck T-shirts in soft jersey made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Regular fit,V-neck,"Cotton 60%, Polyester 40%",White,Yes,,0976756002,,men
213,Linen Jersey T-shirt,[],,[reviewsLabel],,T-shirt in soft linen jersey with a ribbed crew neck.,Short sleeve,,Round Neck,Linen 100%,Steel blue,Yes,Premium Selection,0930849006,,men
214,Slim Fit Round-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Mint green,Yes,,0570002112,Regular length,men
215,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit T-shirt in soft cotton jersey with a printed design. Ribbed neck, dropped shoulders, and chest pocket.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Light blue/white,Yes,,1001459003,,men
216,Linen-blend T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft jersey made from a linen and cotton blend.,Short sleeve,,Round Neck,"Linen 55%, Cotton 45%",White,Yes,,0974963006,,men
217,2-pack Sports Shirts,[],,[reviewsLabel],,"Short-sleeved sports shirts in fast-drying, functional fabric with good air permeability to wick away moisture. Made partly from recycled polyester.",Short sleeve,Muscle fit,Round Neck,"Polyester 87%, Elastane 13%",Dark gray melange/black,Yes,environmentalMarker,0816111003,,men
218,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Light blue,Yes,Premium Selection,0702932050,Regular length,men
219,2-pack Regular Fit T-shirts,[],,[reviewsLabel],,"T-shirts in soft cotton jersey with a low neck. Rolled edges at neck and cuffs. Rounded hem, longer at back. Regular Fit.",Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,,0963748004,,men
220,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck, dropped shoulders, and contrasting sleeves.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Beige/dark blue/orange,Yes,,0980142001,,men
221,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Light blue/peach pink/mint green,Yes,,0578630037,Regular length,men
222,Premium Cotton Polo Shirt,[],,[reviewsLabel],,"Fine-knit polo shirt in premium cotton. Ribbed collar, button placket, and short sleeves with ribbed cuffs.",Short sleeve,,,Cotton 100%,Dark turquoise,Yes,,0936957004,,men
223,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Pink,Yes,Premium Selection,0702932059,Regular length,men
224,2-pack Sports Shirts,[],,[reviewsLabel],,"Short-sleeved sports shirts in fast-drying, functional fabric with good air permeability to wick away moisture. Made partly from recycled polyester.",Short sleeve,Muscle fit,Round Neck,"Polyester 87%, Elastane 13%",Dark green/dark gray melange,Yes,environmentalMarker,0816111004,,men
225,Slim Fit COOLMAX® Polo Shirt,[],,[reviewsLabel],,"Polo shirt in cotton-blend piqué. Collar, button placket, and short sleeves. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.",Short sleeve,Slim fit,,"Cotton 52%, Polyester 48%",White,Yes,,0967154003,,men
226,Regular Fit Running Shirt,[],,[reviewsLabel],,"Running shirt in fast-drying, functional fabric designed to help keep you dry and cool while exercising. Short raglan sleeves and reflective details.",Short sleeve,Regular fit,Round Neck,Polyester 100%,Gray/dark gray/white,Yes,environmentalMarker,0886548015,,men
227,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Blue/black,Yes,,0967955019,,men
228,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck, dropped shoulders, and contrasting sleeves.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Turquoise/white/dark blue,Yes,,0980142003,,men
