SN,title,description,features,price,color,gender,imageUrl,rating,reviews,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
35,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,raisin,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/SL_03823_PU0041_900x.jpg?v=1612978819,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
36,Women's Organic Long Sleeve Vneck T-shirt,"air Indigo's organic cotton tees are 'better than anything you can find at the mall, no matter the price.' So says Bethanne in her review of the Long Sleeve V-neck Tee. We respectfully agree (and thanks Bethanne!). While many brands are ditching quality to play in the Fast Fashion lane and chase lower prices, we continue to build our tees?up.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,guava,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_03823_guava_900x.jpg?v=1620156873,4.7,80,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
37,Women's Organic Long Sleeve Crew Neck T-shirt,"A quintessential staple in any organic wardrobe - the classic Long Sleeve Crew Neck Tee. In addition to its fair trade credentials, what sets this one apart is the fabric. A substantial blend of organic Peruvian Pima cotton (among the finest in the world) with a hint of spandex yields a beautiful drape and enduring resilience. With long lasting Pima cotton, you can rest assured your tee will look and feel great for years to come.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/SL_04180_NE0001_36ff3fde-6c53-45f9-b52b-d0dbfe8c069a_900x.jpg?v=1632948993,4.8,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
38,Women's Organic Long Sleeve Crew Neck T-shirt,"A quintessential staple in any organic wardrobe - the classic Long Sleeve Crew Neck Tee. In addition to its fair trade credentials, what sets this one apart is the fabric. A substantial blend of organic Peruvian Pima cotton (among the finest in the world) with a hint of spandex yields a beautiful drape and enduring resilience. With long lasting Pima cotton, you can rest assured your tee will look and feel great for years to come.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04180_White_398_FW21_19f95a5b-567f-45dd-bb30-b7a07f8b1f7a_900x.jpg?v=1632948996,4.8,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
39,Women's Organic Long Sleeve Crew Neck T-shirt,"A quintessential staple in any organic wardrobe - the classic Long Sleeve Crew Neck Tee. In addition to its fair trade credentials, what sets this one apart is the fabric. A substantial blend of organic Peruvian Pima cotton (among the finest in the world) with a hint of spandex yields a beautiful drape and enduring resilience. With long lasting Pima cotton, you can rest assured your tee will look and feel great for years to come.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,wine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04180_Wine_1445_FW21_900x.jpg?v=1632948993,4.8,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
40,Women's Organic Long Sleeve Crew Neck T-shirt,"A quintessential staple in any organic wardrobe - the classic Long Sleeve Crew Neck Tee. In addition to its fair trade credentials, what sets this one apart is the fabric. A substantial blend of organic Peruvian Pima cotton (among the finest in the world) with a hint of spandex yields a beautiful drape and enduring resilience. With long lasting Pima cotton, you can rest assured your tee will look and feel great for years to come.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,pine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04180_Pine_931_FW21_900x.jpg?v=1632948993,4.8,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
41,Women's Organic Long Sleeve Crew Neck T-shirt,"A quintessential staple in any organic wardrobe - the classic Long Sleeve Crew Neck Tee. In addition to its fair trade credentials, what sets this one apart is the fabric. A substantial blend of organic Peruvian Pima cotton (among the finest in the world) with a hint of spandex yields a beautiful drape and enduring resilience. With long lasting Pima cotton, you can rest assured your tee will look and feel great for years to come.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,dusk,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04180_Dusk_489_FW21_B_900x.jpg?v=1636489739,4.8,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
42,Women's Organic Long Sleeve Crew Neck T-shirt,"A quintessential staple in any organic wardrobe - the classic Long Sleeve Crew Neck Tee. In addition to its fair trade credentials, what sets this one apart is the fabric. A substantial blend of organic Peruvian Pima cotton (among the finest in the world) with a hint of spandex yields a beautiful drape and enduring resilience. With long lasting Pima cotton, you can rest assured your tee will look and feel great for years to come.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,cobalt,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04180_cobalt_900x.jpg?v=1632948993,4.8,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
43,Women's Organic Long Sleeve Crew Neck T-shirt,"A quintessential staple in any organic wardrobe - the classic Long Sleeve Crew Neck Tee. In addition to its fair trade credentials, what sets this one apart is the fabric. A substantial blend of organic Peruvian Pima cotton (among the finest in the world) with a hint of spandex yields a beautiful drape and enduring resilience. With long lasting Pima cotton, you can rest assured your tee will look and feel great for years to come.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,cranberry,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/SL_04180_RE0007_900x.jpg?v=1632948993,4.8,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
44,Women's Organic Relaxed Crew Neck T-shirt,"Relaxed but not boxy, this t-shirt has a little more room through the waist than our?Scoop Neck Tee. The classic crew neck holds its shape beautifully thanks to the fine rib trim.?The organic Pima cotton fabric is unrivaled for softness and longevity. Like all of our tees, this one will endure beautifully for years - a?sustainable choice over lesser priced (and lesser quality) tees on the market.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/cf_02606_ne0001-1000_900x.jpg?v=1632415357,4.8,70,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
45,Women's Organic Relaxed Crew Neck T-shirt,"Relaxed but not boxy, this t-shirt has a little more room through the waist than our?Scoop Neck Tee. The classic crew neck holds its shape beautifully thanks to the fine rib trim.?The organic Pima cotton fabric is unrivaled for softness and longevity. Like all of our tees, this one will endure beautifully for years - a?sustainable choice over lesser priced (and lesser quality) tees on the market.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02606_White_992_FW21_900x.jpg?v=1630103082,4.8,70,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
46,Women's Organic Relaxed Crew Neck T-shirt,"Relaxed but not boxy, this t-shirt has a little more room through the waist than our?Scoop Neck Tee. The classic crew neck holds its shape beautifully thanks to the fine rib trim.?The organic Pima cotton fabric is unrivaled for softness and longevity. Like all of our tees, this one will endure beautifully for years - a?sustainable choice over lesser priced (and lesser quality) tees on the market.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,dusk,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02606_Dusk_595_FW21_B_900x.jpg?v=1636489535,4.8,70,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
47,Women's Organic Relaxed Crew Neck T-shirt,"Relaxed but not boxy, this t-shirt has a little more room through the waist than our?Scoop Neck Tee. The classic crew neck holds its shape beautifully thanks to the fine rib trim.?The organic Pima cotton fabric is unrivaled for softness and longevity. Like all of our tees, this one will endure beautifully for years - a?sustainable choice over lesser priced (and lesser quality) tees on the market.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,stone green,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02606_stone_green_900x.jpg?v=1613839646,4.8,70,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
48,Women's Organic Relaxed Crew Neck T-shirt,"Relaxed but not boxy, this t-shirt has a little more room through the waist than our?Scoop Neck Tee. The classic crew neck holds its shape beautifully thanks to the fine rib trim.?The organic Pima cotton fabric is unrivaled for softness and longevity. Like all of our tees, this one will endure beautifully for years - a?sustainable choice over lesser priced (and lesser quality) tees on the market.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,sea blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02606_sea_blue_900x.jpg?v=1613839630,4.8,70,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
49,Women's Organic Relaxed Crew Neck T-shirt,"Relaxed but not boxy, this t-shirt has a little more room through the waist than our?Scoop Neck Tee. The classic crew neck holds its shape beautifully thanks to the fine rib trim.?The organic Pima cotton fabric is unrivaled for softness and longevity. Like all of our tees, this one will endure beautifully for years - a?sustainable choice over lesser priced (and lesser quality) tees on the market.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,guava,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_02606_guava_900x.jpg?v=1613839667,4.8,70,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
50,Women's Organic Boat Neck Tee,"Building an ethical and Forever in Fashion wardrobe starts with foundation pieces you can wear anywhere. Our Boat Neck Tee - a modern classic - has an understated elegance because the neck is finished with a clean, flat-lying hem instead of a typical trim. Elbow-length sleeves effortlessly bridge seasons.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03801_Black_548_FW21_S_900x.jpg?v=1632415700,4.5,57,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
51,Women's Organic Boat Neck Tee,"Building an ethical and Forever in Fashion wardrobe starts with foundation pieces you can wear anywhere. Our Boat Neck Tee - a modern classic - has an understated elegance because the neck is finished with a clean, flat-lying hem instead of a typical trim. Elbow-length sleeves effortlessly bridge seasons.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,wine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03801_Wine_1017_FW21_A_900x.jpg?v=1632417330,4.5,57,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
52,Women's Organic Boat Neck Tee,"Building an ethical and Forever in Fashion wardrobe starts with foundation pieces you can wear anywhere. Our Boat Neck Tee - a modern classic - has an understated elegance because the neck is finished with a clean, flat-lying hem instead of a typical trim. Elbow-length sleeves effortlessly bridge seasons.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,midnight navy,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03801_midnight_navy_900x.jpg?v=1632415720,4.5,57,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
53,Women's Organic Boat Neck Tee,"Building an ethical and Forever in Fashion wardrobe starts with foundation pieces you can wear anywhere. Our Boat Neck Tee - a modern classic - has an understated elegance because the neck is finished with a clean, flat-lying hem instead of a typical trim. Elbow-length sleeves effortlessly bridge seasons.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,stone green,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/LD_03801_stone_green_900x.jpg?v=1614007038,4.5,57,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
54,Women's Organic Boat Neck Tee,"Building an ethical and Forever in Fashion wardrobe starts with foundation pieces you can wear anywhere. Our Boat Neck Tee - a modern classic - has an understated elegance because the neck is finished with a clean, flat-lying hem instead of a typical trim. Elbow-length sleeves effortlessly bridge seasons.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/sl_03801_ne0006_3065de7c-13f0-4d5f-aeca-453419155430_900x.jpg?v=1632417199,4.5,57,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
55,Women's Organic Easy Tee,"Crafted with the same organic Pima cotton fabric that consistently earns 5-star reviews in all of our tees, you'll fall in love immediately with its fabulous softness, easy styling, and enduring beauty through literally?years?of washing and wearing. The curved bottom hem is slightly longer in the back than in the front.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,sea blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04311_sea_blue_900x.jpg?v=1613837113,4.9,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
56,Women's Organic Easy Tee,"Crafted with the same organic Pima cotton fabric that consistently earns 5-star reviews in all of our tees, you'll fall in love immediately with its fabulous softness, easy styling, and enduring beauty through literally?years?of washing and wearing. The curved bottom hem is slightly longer in the back than in the front.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,stone green,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04311_StoneGreen_944_FW21_900x.jpg?v=1630105651,4.9,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
57,Women's Organic Easy Tee,"Crafted with the same organic Pima cotton fabric that consistently earns 5-star reviews in all of our tees, you'll fall in love immediately with its fabulous softness, easy styling, and enduring beauty through literally?years?of washing and wearing. The curved bottom hem is slightly longer in the back than in the front.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,guava,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04311_guava_1_900x.jpg?v=1625255154,4.9,81,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
58,Women's Organic All-cotton Relaxed Pocket V-neck T-shirt,"It's hard to find a tee as effortless as this one. A pretty rounded v-neck, sweet little pocket, and relaxed but not boxy fit. It's made with dreamy soft 100% organic Pima cotton which you'll notice as soon as you put it on.","100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",36.9,deep sea,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_03300_deep_sea_900x.jpg?v=1613436998,4.6,36,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
59,Women's Organic All-cotton Relaxed Pocket V-neck T-shirt,"It's hard to find a tee as effortless as this one. A pretty rounded v-neck, sweet little pocket, and relaxed but not boxy fit. It's made with dreamy soft 100% organic Pima cotton which you'll notice as soon as you put it on.","100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",36.9,berry,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/SL_03300_PU0005_900x.jpg?v=1592332905,4.6,36,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
60,Women's Organic All-cotton Relaxed Pocket V-neck T-shirt,"It's hard to find a tee as effortless as this one. A pretty rounded v-neck, sweet little pocket, and relaxed but not boxy fit. It's made with dreamy soft 100% organic Pima cotton which you'll notice as soon as you put it on.","100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",36.9,dark ocean,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_03300_dark_ocean_900x.jpg?v=1613436883,4.6,36,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
61,Women's Organic All-cotton Relaxed Pocket V-neck T-shirt,"It's hard to find a tee as effortless as this one. A pretty rounded v-neck, sweet little pocket, and relaxed but not boxy fit. It's made with dreamy soft 100% organic Pima cotton which you'll notice as soon as you put it on.","100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",36.9,undyed,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_3300_undyed_900x.jpg?v=1617403259,4.6,36,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
62,Women's Organic All-cotton Luxe Jewel Neck Tee,Our signature all-cotton Organic Interlock is loftier than typical jersey t-shirt knit. You'll love the uncommonly soft smooth fabric and appreciate its unique ability to stretch without the use of spandex.,"100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",41.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04502_Black_462_FW21_900x.jpg?v=1629912391,4.9,17,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
63,Women's Organic All-cotton Luxe Jewel Neck Tee,Our signature all-cotton Organic Interlock is loftier than typical jersey t-shirt knit. You'll love the uncommonly soft smooth fabric and appreciate its unique ability to stretch without the use of spandex.,"100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",41.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04502_White_727_FW21_900x.jpg?v=1629912391,4.9,17,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
64,Women's Organic All-cotton Luxe Jewel Neck Tee,Our signature all-cotton Organic Interlock is loftier than typical jersey t-shirt knit. You'll love the uncommonly soft smooth fabric and appreciate its unique ability to stretch without the use of spandex.,"100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",41.9,cobalt,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_04502_cobalt_blue_2_900x.jpg?v=1629911055,4.9,17,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
65,Women's Organic All-cotton Luxe Jewel Neck Tee,Our signature all-cotton Organic Interlock is loftier than typical jersey t-shirt knit. You'll love the uncommonly soft smooth fabric and appreciate its unique ability to stretch without the use of spandex.,"100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",41.9,boysenberry,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04502_boysenberry_6_900x.jpg?v=1629911055,4.9,17,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
66,Women's Organic All-cotton Luxe Jewel Neck Tee,Our signature all-cotton Organic Interlock is loftier than typical jersey t-shirt knit. You'll love the uncommonly soft smooth fabric and appreciate its unique ability to stretch without the use of spandex.,"100% organic Pima cotton jersey; Earth-friendly, certified safe dyes; Undyed color is without dyes and takes the color of the cotton - slight variations are normal; Machine wash; 26-inch length (size Medium); Relaxed fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",41.9,olive,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_04502_olive_900x.jpg?v=1629911055,4.9,17,fair indigo,100% organic cotton,0,0,0,0,0,0,0,0,1
67,Women's Organic Slim Mock Neck Tee,"Sleek and slightly more fitted with a mock turtleneck, the minimalist silhouette takes an essential ""better basic"" tee and elevates it to something a little dressier.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 23.5-inch length (size Medium); Slim fit, size up if you prefer a roomier fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/CF_04794_BLACK_900x.jpg?v=1579708010,4.7,12,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
68,Women's Organic Slim Mock Neck Tee,"Sleek and slightly more fitted with a mock turtleneck, the minimalist silhouette takes an essential ""better basic"" tee and elevates it to something a little dressier.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 23.5-inch length (size Medium); Slim fit, size up if you prefer a roomier fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,wine,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04752_Wine_639_FW21_S_900x.jpg?v=1632418201,4.7,12,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
69,Women's Organic Slim Mock Neck Tee,"Sleek and slightly more fitted with a mock turtleneck, the minimalist silhouette takes an essential ""better basic"" tee and elevates it to something a little dressier.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 23.5-inch length (size Medium); Slim fit, size up if you prefer a roomier fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,stone green,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_04752_stone_green_900x.jpg?v=1613503766,4.7,12,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
