SN,title,description,review,rating,price_euro,price_usd,color,basic_color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton,linen,wool,silk
49,KORNEL T-Shirt,"A casual-fit T-shirt in beautifully fashionable colours, which can be combined with lots of stylish but informal outfits. This summery material blend of organic cotton and viscose (peppermint) is wonderfully soft to wear, even on warm summer days, and it always looks absolutely amazing. A really special shirt, which shows why T-shirts are such a versatile summer classic.",0,0,39.99,45.19,tobacco,yellow,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/68516/1_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % cotton (organic); 30% Viskose (peppermint),0.3,0,0,0,0,0,0,0,0.7,0,0,0
50,ANDY T-shirt,With this shirt made of flowing and cool linen jersey men don't start to sweat as easily! The temperature equalizing characteristic of linen in combination with the airy and loose cut keeps him pretty cool even on hot days…perfect for leisure time but also suitable for the office! Melange yarn-dyed.,9,3,44.99,50.84,fern,green,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66603/22_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
51,ANDY T-shirt,With this shirt made of flowing and cool linen jersey men don't start to sweat as easily! The temperature equalizing characteristic of linen in combination with the airy and loose cut keeps him pretty cool even on hot days…perfect for leisure time but also suitable for the office! Melange yarn-dyed.,9,3,44.99,50.84,ink blue,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66603/10_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
52,ANDY T-shirt,With this shirt made of flowing and cool linen jersey men don't start to sweat as easily! The temperature equalizing characteristic of linen in combination with the airy and loose cut keeps him pretty cool even on hot days…perfect for leisure time but also suitable for the office! Melange yarn-dyed.,9,3,44.99,50.84,olive/natural,gray,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66603/17_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
53,ANDY T-shirt,With this shirt made of flowing and cool linen jersey men don't start to sweat as easily! The temperature equalizing characteristic of linen in combination with the airy and loose cut keeps him pretty cool even on hot days…perfect for leisure time but also suitable for the office! Melange yarn-dyed.,9,3,44.99,50.84,red clay,red,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66603/20_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
54,ANDY T-shirt,With this shirt made of flowing and cool linen jersey men don't start to sweat as easily! The temperature equalizing characteristic of linen in combination with the airy and loose cut keeps him pretty cool even on hot days…perfect for leisure time but also suitable for the office! Melange yarn-dyed.,9,3,44.99,50.84,rosso/ink blue,red,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66603/14_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
55,ANDY T-shirt,With this shirt made of flowing and cool linen jersey men don't start to sweat as easily! The temperature equalizing characteristic of linen in combination with the airy and loose cut keeps him pretty cool even on hot days…perfect for leisure time but also suitable for the office! Melange yarn-dyed.,9,3,44.99,50.84,turquoise/ink blue,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/66603/18_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Linen (organic),0,0,0,0,0,0,0,0,0,1,0,0
56,CLARK T-shirt,In harmony with nature and the environment - a simple T-shirt made of organic cotton jersey. The ribbed cuff at the neck contains 3% elastane so that it sits right and stays in shape.,6,4,18.99,21.46,black,black,men,https://www.livingcrafts.de/file/thumb/shop/article/63713/52_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
57,CLARK T-shirt,In harmony with nature and the environment - a simple T-shirt made of organic cotton jersey. The ribbed cuff at the neck contains 3% elastane so that it sits right and stays in shape.,6,4,18.99,21.46,dark navy,blue,men,https://www.livingcrafts.de/file/thumb/shop/article/63713/93_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
58,CLARK T-shirt,In harmony with nature and the environment - a simple T-shirt made of organic cotton jersey. The ribbed cuff at the neck contains 3% elastane so that it sits right and stays in shape.,6,4,18.99,21.46,grey melange,gray,men,https://www.livingcrafts.de/file/thumb/shop/article/63713/255_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
59,CLARK T-shirt,In harmony with nature and the environment - a simple T-shirt made of organic cotton jersey. The ribbed cuff at the neck contains 3% elastane so that it sits right and stays in shape.,6,4,18.99,21.46,natural,off white,men,https://www.livingcrafts.de/file/thumb/shop/article/63713/01_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
60,CLARK T-shirt,In harmony with nature and the environment - a simple T-shirt made of organic cotton jersey. The ribbed cuff at the neck contains 3% elastane so that it sits right and stays in shape.,6,4,18.99,21.46,white,white,men,https://www.livingcrafts.de/file/thumb/shop/article/63713/11_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
61,ILKO T-shirt,"Anyone who thinks plain-coloured tops are boring, think again! Spring adds colour to the wardrobe. This T-shirt is perfect for every occasion - practical, uncomplicated and with timeless appeal. The round neck T-shirt has elasticated trim around the neck and with a weight of 120 g/m², it is summery-light. It never goes out of fashion and has established itself as a flexible year-round essential garment for men. Basic colours available as a pack of 2 : 63756V FABIAN.",0,0,13.99,15.81,rosso,red,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63774/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
62,ILKO T-shirt,"Anyone who thinks plain-coloured tops are boring, think again! Spring adds colour to the wardrobe. This T-shirt is perfect for every occasion - practical, uncomplicated and with timeless appeal. The round neck T-shirt has elasticated trim around the neck and with a weight of 120 g/m², it is summery-light. It never goes out of fashion and has established itself as a flexible year-round essential garment for men. Basic colours available as a pack of 2 : 63756V FABIAN.",0,0,13.99,15.81,reef waters,green,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63774/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
63,ILKO T-shirt,"Anyone who thinks plain-coloured tops are boring, think again! Spring adds colour to the wardrobe. This T-shirt is perfect for every occasion - practical, uncomplicated and with timeless appeal. The round neck T-shirt has elasticated trim around the neck and with a weight of 120 g/m², it is summery-light. It never goes out of fashion and has established itself as a flexible year-round essential garment for men. Basic colours available as a pack of 2 : 63756V FABIAN.",0,0,13.99,15.81,fern,green,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63774/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
64,GLEN T-shirt,"Step into summer with ecological, sustainable fashion - easy to do with this airy T-shirt with V-neck. The wonderfully uneven texture of the T-shirt is due to the use of pleasantly lightweight slub yarn, in organic, sustainably produced cotton. The result is a casual, cool summer look that is fabulous to wear. Not only is it good for the skin but also the soul, as GLEN scores highly in terms of fairness.",0,0,19.99,22.59,turquoise,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63760/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
65,IGNACIO T-shirt,"Stripes ahoy! The striped look for lateral thinkers with taste. Once you have been able to appreciate this cool striped T-shirt, you won't want to get rid of it. Where comfort and casual style go hand-in-hand. The basic feature of the T-shirt is the snug-fitting material. It is made from pure organic cotton that is processed to make a firm, rustic slub yarn. The T-shirt has a breast pocket and elasticated fine rib at the crew neck.",0,0,14.99,16.94,ink blue/white,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63772/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
66,IGNACIO T-shirt,"Stripes ahoy! The striped look for lateral thinkers with taste. Once you have been able to appreciate this cool striped T-shirt, you won't want to get rid of it. Where comfort and casual style go hand-in-hand. The basic feature of the T-shirt is the snug-fitting material. It is made from pure organic cotton that is processed to make a firm, rustic slub yarn. The T-shirt has a breast pocket and elasticated fine rib at the crew neck.",0,0,14.99,16.94,white/ink blue,white,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63772/1_sizeby_exact_sizewidth_555_sizeheight_555.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
67,GORDON T-shirt,"Sustainable and fair right down the line - T-shirt in an airy fabric, with round neck and applied breast pocket with wooden button. The fabric blend makes it pleasant to wear with excellent temperature and moisture-regulating properties. The T-shirt is so soft on the skin that the wearer can feel summer and awaken a desire for warm days.
",3,4,24.99,28.24,apple,yellow,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63761/8_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Cotton (organic); 30 % Hemp,0.3,0,0,0,0,0,0,0,0.7,0,0,0
68,GORDON T-shirt,"Sustainable and fair right down the line - T-shirt in an airy fabric, with round neck and applied breast pocket with wooden button. The fabric blend makes it pleasant to wear with excellent temperature and moisture-regulating properties. The T-shirt is so soft on the skin that the wearer can feel summer and awaken a desire for warm days.
",3,4,24.99,28.24,light khaki,green,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63761/6_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Cotton (organic); 30 % Hemp,0.3,0,0,0,0,0,0,0,0.7,0,0,0
69,HARRY Short-sleeved shirt,"Soft and kind to the skin: short-sleeved vest made of 70% living wool (from controlled biological livestock) and 30% silk. Temperature equalizing, seamless and very comfortable. GOTS certified.",5,4,44.99,50.84,petrol,green,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/4762/6_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Wool (organic); 30 % Silk,0,0,0,0,0,0,0,0,0,0,0.7,0.3
70,HARRY Short-sleeved shirt,"Soft and kind to the skin: short-sleeved vest made of 70% living wool (from controlled biological livestock) and 30% silk. Temperature equalizing, seamless and very comfortable. GOTS certified.",5,4,44.99,50.84,blue ,blue,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/4762/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Wool (organic); 30 % Silk,0,0,0,0,0,0,0,0,0,0,0.7,0.3
71,HARRY Short-sleeved shirt,"Soft and kind to the skin: short-sleeved vest made of 70% living wool (from controlled biological livestock) and 30% silk. Temperature equalizing, seamless and very comfortable. GOTS certified.",5,4,44.99,50.84,blue melange,gray,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/4762/4_sizeby_exact_sizewidth_555_sizeheight_555.jpg,Living Craft,70 % Wool (organic); 30 % Silk,0,0,0,0,0,0,0,0,0,0,0.7,0.3
72,HARRY Short-sleeved shirt,"Soft and kind to the skin: short-sleeved vest made of 70% living wool (from controlled biological livestock) and 30% silk. Temperature equalizing, seamless and very comfortable. GOTS certified.",5,4,44.99,50.84,natural,off white,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/4762/1_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Wool (organic); 30 % Silk,0,0,0,0,0,0,0,0,0,0,0.7,0.3
73,HARRY Short-sleeved shirt,"Soft and kind to the skin: short-sleeved vest made of 70% living wool (from controlled biological livestock) and 30% silk. Temperature equalizing, seamless and very comfortable. GOTS certified.",5,4,44.99,50.84,black,black,men,https://www.livingcrafts.de/file/thumb/shop/extrapicture/4762/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,70 % Wool (organic); 30 % Silk,0,0,0,0,0,0,0,0,0,0,0.7,0.3
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.00,,,,,,,,,,,,,,,,,,
98,,,,,,0.00,,,,,,,,,,,,,,,,,,
99,,,,,,0.00,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,
